country,n,mean_final_score,top100_count,top100_rate
india,36,0.11495330555555555,36,1.0
canada,1,0.11194,1,1.0
uk,2,0.1080995,2,1.0
germany,2,0.0628085,2,1.0
usa,4,0.0473395,4,1.0
australia,2,0.047104,2,1.0
uae,3,0.026574999999999998,3,1.0
