core_cluster,declared_weight_within_core_ml_fit,avg_cluster_score_0_1
embeddings_retrieval,0.3,0.0976
python,0.15,0.0701
vector_db_hybrid_search,0.3,0.0438
eval_frameworks,0.25,0.0223
