current_company_size,n,mean_final_score,top100_count,top100_rate
5001-10000,5,0.20049679999999998,5,1.0
11-50,1,0.114551,1,1.0
51-200,3,0.097867,3,1.0
1001-5000,8,0.09620125,8,1.0
201-500,6,0.08535883333333333,6,1.0
10001+,24,0.08389766666666666,24,1.0
501-1000,3,0.08314099999999999,3,1.0
